OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;5271;"5271-6024";"POLYGON((5.0321451 52.3148481,5.0326777 52.3147676,5.0327306 52.3148499,5.0326949 52.3151858,5.0326267 52.3152786,5.0321451 52.3148481))";"POLYGON((52.3148481 5.0321451,52.3147676 5.0326777,52.3148499 5.0327306,52.3151858 5.0326949,52.3152786 5.0326267,52.3148481 5.0321451))";5.03243785;52.3150231;
2;9035;"9035-11294";"POLYGON((4.906459 52.3842957,4.9064122 52.383565,4.9064623 52.3835101,4.9064659 52.38361,4.9065464 52.3837838,4.9066343 52.3840601,4.9065412 52.384273,4.906459 52.3842957))";"POLYGON((52.3842957 4.906459,52.383565 4.9064122,52.3835101 4.9064623,52.38361 4.9064659,52.3837838 4.9065464,52.3840601 4.9066343,52.384273 4.9065412,52.3842957 4.906459))";4.90652325;52.3839029;
3;7529;"7529-9035";"POLYGON((4.9628022 52.3739792,4.9627004 52.3728791,4.9627323 52.3724095,4.9630458 52.3723272,4.9636934 52.3730429,4.9639715 52.3734933,4.963926 52.3735995,4.9634349 52.3739407,4.9631879 52.3739946,4.9628022 52.3739792))";"POLYGON((52.3739792 4.9628022,52.3728791 4.9627004,52.3724095 4.9627323,52.3723272 4.9630458,52.3730429 4.9636934,52.3734933 4.9639715,52.3735995 4.963926,52.3739407 4.9634349,52.3739946 4.9631879,52.3739792 4.9628022))";4.96333595;52.3731609;
4;6024;"6024-6776";"POLYGON((4.9487171 52.3175468,4.948663 52.3172651,4.9489473 52.3168168,4.9489743 52.3168002,4.9499489 52.3171274,4.9500508 52.3172703,4.9500507 52.3174155,4.949874 52.3176233,4.9489628 52.3172793,4.9487171 52.3175468))";"POLYGON((52.3175468 4.9487171,52.3172651 4.948663,52.3168168 4.9489473,52.3168002 4.9489743,52.3171274 4.9499489,52.3172703 4.9500508,52.3174155 4.9500507,52.3176233 4.949874,52.3172793 4.9489628,52.3175468 4.9487171))";4.9493569;52.31721175;
5;3765;"3765-4518";"POLYGON((4.7685765 52.3768036,4.7680952 52.3770298,4.7676958 52.3772794,4.7673922 52.3765135,4.7678727 52.3762411,4.7685784 52.3766804,4.7685765 52.3768036))";"POLYGON((52.3768036 4.7685765,52.3770298 4.7680952,52.3772794 4.7676958,52.3765135 4.7673922,52.3762411 4.7678727,52.3766804 4.7685784,52.3768036 4.7685765))";4.7679853;52.37676025;
6;3765;"3765-4518";"POLYGON((4.7936733 52.3499753,4.7925508 52.3493905,4.7918206 52.3489375,4.7913034 52.3484855,4.7912497 52.3480358,4.7916079 52.3475882,4.7922748 52.3471421,4.7924723 52.3470174,4.7932099 52.346731,4.7939446 52.3466631,4.7946785 52.346658,4.7953545 52.3467378,4.7936733 52.3499753))";"POLYGON((52.3499753 4.7936733,52.3493905 4.7925508,52.3489375 4.7918206,52.3484855 4.7913034,52.3480358 4.7912497,52.3475882 4.7916079,52.3471421 4.7922748,52.3470174 4.7924723,52.346731 4.7932099,52.3466631 4.7939446,52.346658 4.7946785,52.3467378 4.7953545,52.3499753 4.7936733))";4.7933021;52.34831665;
7;3765;"3765-4518";"POLYGON((4.794513 52.3503177,4.7947008 52.3499558,4.7949733 52.3495826,4.7974364 52.3483308,4.7977204 52.348488,4.7976569 52.3489666,4.7975289 52.3494153,4.797175 52.349863,4.7968339 52.3501181,4.7960968 52.3503603,4.7953619 52.3504359,4.794629 52.3503615,4.794513 52.3503177))";"POLYGON((52.3503177 4.794513,52.3499558 4.7947008,52.3495826 4.7949733,52.3483308 4.7974364,52.348488 4.7977204,52.3489666 4.7976569,52.3494153 4.7975289,52.349863 4.797175,52.3501181 4.7968339,52.3503603 4.7960968,52.3504359 4.7953619,52.3503615 4.794629,52.3503177 4.794513))";4.7961167;52.34938335;
8;3765;"3765-4518";"POLYGON((4.7969255 52.3482368,4.7949906 52.3492996,4.794585 52.3490036,4.7951356 52.3479598,4.7960168 52.3475491,4.7969255 52.3482368))";"POLYGON((52.3482368 4.7969255,52.3492996 4.7949906,52.3490036 4.794585,52.3479598 4.7951356,52.3475491 4.7960168,52.3482368 4.7969255))";4.79575525;52.34842435;
9;3765;"3765-4518";"POLYGON((4.7879459 52.3561928,4.7872074 52.3565339,4.7864732 52.3565366,4.7857417 52.3563637,4.7848766 52.3560926,4.784281 52.3558302,4.7839866 52.3556386,4.7840185 52.3551894,4.7842925 52.3549857,4.7846656 52.3547433,4.7850319 52.3545848,4.785768 52.354417,4.7865012 52.3544677,4.7873791 52.3547571,4.7880653 52.3552099,4.788226 52.3556601,4.7880384 52.3561086,4.7879459 52.3561928))";"POLYGON((52.3561928 4.7879459,52.3565339 4.7872074,52.3565366 4.7864732,52.3563637 4.7857417,52.3560926 4.7848766,52.3558302 4.784281,52.3556386 4.7839866,52.3551894 4.7840185,52.3549857 4.7842925,52.3547433 4.7846656,52.3545848 4.7850319,52.354417 4.785768,52.3544677 4.7865012,52.3547571 4.7873791,52.3552099 4.7880653,52.3556601 4.788226,52.3561086 4.7880384,52.3561928 4.7879459))";4.7861063;52.3554768;
10;4518;"4518-5271";"POLYGON((4.8325523 52.3693736,4.8318169 52.3694697,4.8316406 52.3693527,4.8318213 52.3691108,4.8325527 52.3693312,4.8325523 52.3693736))";"POLYGON((52.3693736 4.8325523,52.3694697 4.8318169,52.3693527 4.8316406,52.3691108 4.8318213,52.3693312 4.8325527,52.3693736 4.8325523))";4.83209665;52.36929025;
11;6024;"6024-6776";"POLYGON((4.8690725 52.3309359,4.8690622 52.3292877,4.872736 52.3292815,4.8728686 52.3295434,4.8727139 52.3299921,4.8723028 52.3304398,4.8719108 52.3307226,4.871494 52.3308856,4.8711743 52.3309659,4.8704398 52.3310497,4.8697064 52.3310402,4.8690725 52.3309359))";"POLYGON((52.3309359 4.8690725,52.3292877 4.8690622,52.3292815 4.872736,52.3295434 4.8728686,52.3299921 4.8727139,52.3304398 4.8723028,52.3307226 4.8719108,52.3308856 4.871494,52.3309659 4.8711743,52.3310497 4.8704398,52.3310402 4.8697064,52.3309359 4.8690725))";4.8709654;52.3301656;
12;6024;"6024-6776";"POLYGON((4.8685732 52.3307336,4.868245 52.3305593,4.8680645 52.3304213,4.8678226 52.3299708,4.8677762 52.3295212,4.8680175 52.3290729,4.8682639 52.3289367,4.8686415 52.3288315,4.8685732 52.3307336))";"POLYGON((52.3307336 4.8685732,52.3305593 4.868245,52.3304213 4.8680645,52.3299708 4.8678226,52.3295212 4.8677762,52.3290729 4.8680175,52.3289367 4.8682639,52.3288315 4.8686415,52.3307336 4.8685732))";4.86820885;52.32978255;
13;6776;"6776-7529";"POLYGON((4.8773857 52.3230099,4.883348 52.3231189,4.8844612 52.3235789,4.885194 52.3236334,4.8859286 52.3235386,4.8866296 52.3233109,4.8867761 52.3231815,4.8897688 52.3232359,4.8895328 52.3233231,4.8888625 52.323499,4.8883103 52.3237674,4.8881253 52.3238415,4.8876588 52.3242141,4.8873859 52.3243734,4.8866499 52.3245993,4.8860656 52.3246567,4.8859158 52.3246699,4.8851822 52.3246802,4.88445 52.3245782,4.8829902 52.3239645,4.8822597 52.3237017,4.8815284 52.3235118,4.8807961 52.3234131,4.880063 52.3233832,4.8793295 52.3234024,4.8785953 52.3234768,4.877862 52.3234573,4.8775447 52.3232722,4.8773857 52.3230099))";"POLYGON((52.3230099 4.8773857,52.3231189 4.883348,52.3235789 4.8844612,52.3236334 4.885194,52.3235386 4.8859286,52.3233109 4.8866296,52.3231815 4.8867761,52.3232359 4.8897688,52.3233231 4.8895328,52.323499 4.8888625,52.3237674 4.8883103,52.3238415 4.8881253,52.3242141 4.8876588,52.3243734 4.8873859,52.3245993 4.8866499,52.3246567 4.8860656,52.3246699 4.8859158,52.3246802 4.8851822,52.3245782 4.88445,52.3239645 4.8829902,52.3237017 4.8822597,52.3235118 4.8815284,52.3234131 4.8807961,52.3233832 4.880063,52.3234024 4.8793295,52.3234768 4.8785953,52.3234573 4.877862,52.3232722 4.8775447,52.3230099 4.8773857))";4.88357725;52.32384505;
14;6776;"6776-7529";"POLYGON((4.8901647 52.3230817,4.8897664 52.3230667,4.8898073 52.3223935,4.8902983 52.322401,4.8903412 52.3224278,4.8910691 52.3224308,4.8906106 52.3228783,4.8901647 52.3230817))";"POLYGON((52.3230817 4.8901647,52.3230667 4.8897664,52.3223935 4.8898073,52.322401 4.8902983,52.3224278 4.8903412,52.3224308 4.8910691,52.3228783 4.8906106,52.3230817 4.8901647))";4.89041775;52.3227376;
15;5271;"5271-6024";"POLYGON((4.9809425 52.3277159,4.9804971 52.3278804,4.9799816 52.3277125,4.9797659 52.3276178,4.9794318 52.3272613,4.9792551 52.3268113,4.9794787 52.3263627,4.9797789 52.3262001,4.980514 52.3260218,4.9812473 52.3260403,4.9817215 52.3263704,4.9817749 52.32682,4.9815339 52.3272685,4.9812333 52.3275664,4.9809425 52.3277159))";"POLYGON((52.3277159 4.9809425,52.3278804 4.9804971,52.3277125 4.9799816,52.3276178 4.9797659,52.3272613 4.9794318,52.3268113 4.9792551,52.3263627 4.9794787,52.3262001 4.9797789,52.3260218 4.980514,52.3260403 4.9812473,52.3263704 4.9817215,52.32682 4.9817749,52.3272685 4.9815339,52.3275664 4.9812333,52.3277159 4.9809425))";4.980515;52.3269511;
